NO,이수구분,AISW마이크로디그리,교양영역,학수번호,분반,개설학년,교과목명,학점,교수명,강의시간(강의실),수업구분,수업방법,팀티칭 유형
177,인성교양,,,0APR1139,U0,1,대학생활설계와비전2,1,이진영,화6(자연과학관(아산) 410),주간,대면수업,
178,인성교양,,,0APR1139,U1,1,대학생활설계와비전2,1,이용화,화6(자연과학관(아산) 414),주간,대면수업,
179,인성교양,,,0APR1139,U2,1,대학생활설계와비전2,1,이용섭,월7(자연과학관(아산) 414),주간,대면수업,
180,인성교양,,,0APR1139,U3,1,대학생활설계와비전2,1,한승오,월2(제1공학관(아산) 528),주간,대면수업,
181,인성교양,,,0APR1139,UU,1,대학생활설계와비전2,1,노호창,월5(1호관(천안) 102),주간(천안),대면수업,
182,인성교양,,,0APR1139,VO,1,대학생활설계와비전2,1,정건희,수6(조형과학관(아산) 102),주간,대면수업,
183,인성교양,,,0APR1139,VR,1,대학생활설계와비전2,1,주병구,수4(산학협동1호관(아산) 108),주간,대면수업,
184,인성교양,,,0APR1139,W5,1,대학생활설계와비전2,1,정원일,월4(제2공학관(아산) 418),주간,대면수업,
185,인성교양,,,0APR1139,W6,1,대학생활설계와비전2,1,홍충표,월4(제2공학관(아산) 422),주간,대면수업,
186,인성교양,,,0APR1139,WH,1,대학생활설계와비전2,1,정상훈,화1(예술관(아산) 329),주간,대면수업,
187,인성교양,,,0APR1139,WI,1,대학생활설계와비전2,1,임유영,화5(예술관(아산) 319),주간,대면수업,
188,인성교양,,,0APR1139,WS,1,대학생활설계와비전2,1,신창섭,수4(산학협동1호관(아산) 106),주간,대면수업,
189,인성교양,,,0APR1139,WW,1,대학생활설계와비전2,1,이재완,목6(1호관(천안) 401),주간(천안),대면수업,
190,인성교양,,,0APR1139,XJ,1,대학생활설계와비전2,1,정용승,월2(예술관(아산) 316),주간,대면수업,
191,인성교양,,,0APR1139,XT,1,대학생활설계와비전2,1,김충현,수4(산학협동1호관(아산) 107),주간,대면수업,
192,인성교양,,,0APR1139,XX,1,대학생활설계와비전2,1,심형인,화5(1호관(천안) 208),주간(천안),대면수업,
193,인성교양,,,0APR1139,YK,1,대학생활설계와비전2,1,변상규,목1(강석규교육관(아산) 320),주간,대면수업,
194,인성교양,,,0APR1139,ZL,1,대학생활설계와비전2,1,진승현,목1(예술관(아산) 217),주간,대면수업,
195,인성교양,,,0APR1139,ZP,1,대학생활설계와비전2,1,김헌창,화4(제1공학관(아산) 349),주간,대면수업,
196,인성교양,,,0APR1139,ZT,1,대학생활설계와비전2,1,마호성,화7(조형과학관(아산) 309),주간,대면수업,
197,인성교양,,,0APR1139,ZV,1,대학생활설계와비전2,1,함희진,수4(산학협동1호관(아산) 214),주간,대면수업,
198,인성교양,,,0APR1172,01,1,인간과기독교,2,이정학,"수1,2(2호관(천안) 103)",주간(천안),대면수업,
199,인성교양,,,0APR1172,02,1,인간과기독교,2,박미경,수15(사이버강의동 1001)/수5(3호관(천안) 101),주간(천안),원격(하이브리드),
200,인성교양,,,0APR1172,04,1,인간과기독교,2,박미경,수14(사이버강의동 1001)/수6(3호관(천안) 101),주간(천안),원격(하이브리드),
